size,n_neurons,n_patterns,stored_labels,noise_level,noise_percent,repetitions,correct,total_trials,accuracy,mean_noisy_similarity,mean_recovered_similarity,std_recovered_similarity
10,100,14,ABCDEFGHIJKLMN,0.05,5,10,0,140,0.0,0.9500000000000002,0.8807142857142856,0.05775122580199187
10,100,14,ABCDEFGHIJKLMN,0.1,10,10,0,140,0.0,0.9000000000000004,0.8807142857142856,0.05775122580199187
10,100,14,ABCDEFGHIJKLMN,0.15,15,10,0,140,0.0,0.8499999999999999,0.8807142857142856,0.05775122580199187
10,100,15,ABCDEFGHIJKLMNO,0.05,5,10,0,150,0.0,0.9500000000000002,0.8786666666666667,0.05584104424365847
10,100,15,ABCDEFGHIJKLMNO,0.1,10,10,0,150,0.0,0.9000000000000004,0.8786666666666667,0.05584104424365847
10,100,15,ABCDEFGHIJKLMNO,0.15,15,10,0,150,0.0,0.8499999999999998,0.8786666666666667,0.05584104424365847
10,100,16,ABCDEFGHIJKLMNOP,0.05,5,10,0,160,0.0,0.95,0.8806249999999999,0.056177036011167414
10,100,16,ABCDEFGHIJKLMNOP,0.1,10,10,0,160,0.0,0.9000000000000001,0.8806249999999999,0.056177036011167414
10,100,16,ABCDEFGHIJKLMNOP,0.15,15,10,0,160,0.0,0.8499999999999999,0.8806249999999999,0.056177036011167414
10,100,17,ABCDEFGHIJKLMNOPQ,0.05,5,10,0,170,0.0,0.95,0.8794117647058823,0.05351971470020833
10,100,17,ABCDEFGHIJKLMNOPQ,0.1,10,10,0,170,0.0,0.9000000000000004,0.8794117647058823,0.05351971470020833
10,100,17,ABCDEFGHIJKLMNOPQ,0.15,15,10,0,170,0.0,0.8499999999999996,0.8794117647058823,0.05351971470020833
10,100,18,ABCDEFGHIJKLMNOPQR,0.05,5,10,0,180,0.0,0.95,0.882777777777778,0.04793578523580105
10,100,18,ABCDEFGHIJKLMNOPQR,0.1,10,10,0,180,0.0,0.9000000000000004,0.882777777777778,0.04793578523580105
10,100,18,ABCDEFGHIJKLMNOPQR,0.15,15,10,0,180,0.0,0.8499999999999996,0.882777777777778,0.04793578523580105
10,100,19,ABCDEFGHIJKLMNOPQRS,0.05,5,10,0,190,0.0,0.95,0.8863157894736841,0.04814567000433377
10,100,19,ABCDEFGHIJKLMNOPQRS,0.1,10,10,0,190,0.0,0.9000000000000002,0.8863157894736841,0.04814567000433377
10,100,19,ABCDEFGHIJKLMNOPQRS,0.15,15,10,0,190,0.0,0.8499999999999998,0.8863157894736841,0.04814567000433377
10,100,20,ABCDEFGHIJKLMNOPQRST,0.05,5,10,0,200,0.0,0.9499999999999998,0.8844999999999998,0.048731406710662485
10,100,20,ABCDEFGHIJKLMNOPQRST,0.1,10,10,0,200,0.0,0.9000000000000002,0.8844999999999998,0.048731406710662485
10,100,20,ABCDEFGHIJKLMNOPQRST,0.15,15,10,0,200,0.0,0.8499999999999998,0.8844999999999998,0.048731406710662485
10,100,21,ABCDEFGHIJKLMNOPQRSTU,0.05,5,10,0,210,0.0,0.9499999999999998,0.8866666666666666,0.04744252997884547
10,100,21,ABCDEFGHIJKLMNOPQRSTU,0.1,10,10,0,210,0.0,0.9000000000000002,0.8866666666666666,0.04744252997884547
10,100,21,ABCDEFGHIJKLMNOPQRSTU,0.15,15,10,0,210,0.0,0.8499999999999998,0.8866666666666666,0.04744252997884547
10,100,22,ABCDEFGHIJKLMNOPQRSTUV,0.05,5,10,0,220,0.0,0.9499999999999998,0.8854545454545454,0.04755162483862554
10,100,22,ABCDEFGHIJKLMNOPQRSTUV,0.1,10,10,0,220,0.0,0.9000000000000002,0.8854545454545454,0.04755162483862554
10,100,22,ABCDEFGHIJKLMNOPQRSTUV,0.15,15,10,0,220,0.0,0.8499999999999998,0.8854545454545454,0.04755162483862554
10,100,23,ABCDEFGHIJKLMNOPQRSTUVW,0.05,5,10,0,230,0.0,0.9499999999999998,0.8786956521739131,0.055584197615641345
10,100,23,ABCDEFGHIJKLMNOPQRSTUVW,0.1,10,10,0,230,0.0,0.9000000000000004,0.8786956521739131,0.055584197615641345
10,100,23,ABCDEFGHIJKLMNOPQRSTUVW,0.15,15,10,0,230,0.0,0.8499999999999996,0.8786956521739131,0.055584197615641345
10,100,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.05,5,10,0,240,0.0,0.9499999999999997,0.8787499999999999,0.05441449714919729
10,100,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.1,10,10,0,240,0.0,0.9000000000000002,0.8787499999999999,0.05441449714919729
10,100,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.15,15,10,0,240,0.0,0.8499999999999998,0.8787499999999999,0.05441449714919729
10,100,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.05,5,10,0,250,0.0,0.95,0.878,0.05344155686354955
10,100,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.1,10,10,0,250,0.0,0.9000000000000002,0.878,0.05344155686354955
10,100,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.15,15,10,0,250,0.0,0.8499999999999998,0.878,0.05344155686354955
10,100,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.05,5,10,0,260,0.0,0.9499999999999998,0.8788461538461538,0.0525742641835135
10,100,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.1,10,10,0,260,0.0,0.9000000000000002,0.8788461538461538,0.0525742641835135
10,100,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.15,15,10,0,260,0.0,0.8499999999999998,0.8788461538461538,0.0525742641835135
15,225,1,A,0.05,5,10,10,10,1.0,0.9511111111111111,1.0,0.0
15,225,1,A,0.1,10,10,10,10,1.0,0.9022222222222224,1.0,0.0
15,225,1,A,0.15,15,10,10,10,1.0,0.8488888888888889,1.0,0.0
15,225,2,AB,0.05,5,10,20,20,1.0,0.9511111111111111,1.0,0.0
15,225,2,AB,0.1,10,10,20,20,1.0,0.9022222222222223,1.0,0.0
15,225,2,AB,0.15,15,10,20,20,1.0,0.8488888888888889,1.0,0.0
15,225,3,ABC,0.05,5,10,0,30,0.0,0.951111111111111,0.9303703703703706,0.029106492895390378
15,225,3,ABC,0.1,10,10,0,30,0.0,0.9022222222222221,0.9303703703703706,0.029106492895390378
15,225,3,ABC,0.15,15,10,0,30,0.0,0.8488888888888891,0.9303703703703706,0.029106492895390378
15,225,4,ABCD,0.05,5,10,0,40,0.0,0.9511111111111111,0.9277777777777778,0.05446711546122734
15,225,4,ABCD,0.1,10,10,0,40,0.0,0.9022222222222223,0.9277777777777778,0.05446711546122734
15,225,4,ABCD,0.15,15,10,0,40,0.0,0.8488888888888889,0.9277777777777778,0.05446711546122734
15,225,5,ABCDE,0.05,5,10,0,50,0.0,0.9511111111111111,0.9271111111111111,0.028333115467571963
15,225,5,ABCDE,0.1,10,10,0,50,0.0,0.9022222222222221,0.9271111111111111,0.028333115467571963
15,225,5,ABCDE,0.15,15,10,0,50,0.0,0.8488888888888888,0.9271111111111111,0.028333115467571963
15,225,6,ABCDEF,0.05,5,10,0,60,0.0,0.9511111111111111,0.9422222222222223,0.05119156309087702
15,225,6,ABCDEF,0.1,10,10,0,60,0.0,0.9022222222222221,0.9422222222222223,0.05119156309087702
15,225,6,ABCDEF,0.15,15,10,0,60,0.0,0.8488888888888888,0.9425925925925926,0.050494129009934205
15,225,7,ABCDEFG,0.05,5,10,0,70,0.0,0.9511111111111114,0.925079365079365,0.029617533434134858
15,225,7,ABCDEFG,0.1,10,10,0,70,0.0,0.902222222222222,0.925079365079365,0.029617533434134858
15,225,7,ABCDEFG,0.15,15,10,0,70,0.0,0.8488888888888888,0.925079365079365,0.029617533434134858
15,225,8,ABCDEFGH,0.05,5,10,0,80,0.0,0.9511111111111111,0.925,0.03934259150301158
15,225,8,ABCDEFGH,0.1,10,10,0,80,0.0,0.9022222222222223,0.925,0.03934259150301158
15,225,8,ABCDEFGH,0.15,15,10,0,80,0.0,0.848888888888889,0.9248333333333335,0.03914640926093594
15,225,9,ABCDEFGHI,0.05,5,10,0,90,0.0,0.9511111111111112,0.9096296296296296,0.041692584531763825
15,225,9,ABCDEFGHI,0.1,10,10,0,90,0.0,0.9022222222222223,0.9096296296296296,0.041692584531763825
15,225,9,ABCDEFGHI,0.15,15,10,0,90,0.0,0.8488888888888891,0.9096296296296296,0.041692584531763825
15,225,10,ABCDEFGHIJ,0.05,5,10,0,100,0.0,0.9511111111111112,0.9121777777777776,0.05291734061979687
15,225,10,ABCDEFGHIJ,0.1,10,10,0,100,0.0,0.9022222222222223,0.9119111111111111,0.052720104160709394
15,225,10,ABCDEFGHIJ,0.15,15,10,0,100,0.0,0.8488888888888891,0.9122666666666666,0.05279588461327989
15,225,11,ABCDEFGHIJK,0.05,5,10,0,110,0.0,0.9511111111111114,0.8977777777777777,0.046690710496726365
15,225,11,ABCDEFGHIJK,0.1,10,10,0,110,0.0,0.9022222222222223,0.8977777777777777,0.046690710496726365
15,225,11,ABCDEFGHIJK,0.15,15,10,0,110,0.0,0.8488888888888891,0.8977777777777777,0.046690710496726365
15,225,12,ABCDEFGHIJKL,0.05,5,10,0,120,0.0,0.9511111111111109,0.9074074074074073,0.04727411817958179
15,225,12,ABCDEFGHIJKL,0.1,10,10,0,120,0.0,0.9022222222222225,0.9074074074074073,0.04727411817958179
15,225,12,ABCDEFGHIJKL,0.15,15,10,0,120,0.0,0.8488888888888888,0.9069629629629629,0.04718140574432872
15,225,13,ABCDEFGHIJKLM,0.05,5,10,0,130,0.0,0.9511111111111112,0.8878632478632479,0.05603292604556059
15,225,13,ABCDEFGHIJKLM,0.1,10,10,0,130,0.0,0.9022222222222221,0.8878632478632479,0.05603292604556059
15,225,13,ABCDEFGHIJKLM,0.15,15,10,0,130,0.0,0.848888888888889,0.8878632478632479,0.05603292604556059
15,225,14,ABCDEFGHIJKLMN,0.05,5,10,0,140,0.0,0.9511111111111114,0.8857142857142857,0.05719926668980423
15,225,14,ABCDEFGHIJKLMN,0.1,10,10,0,140,0.0,0.9022222222222221,0.8857142857142857,0.05719926668980423
15,225,14,ABCDEFGHIJKLMN,0.15,15,10,0,140,0.0,0.848888888888889,0.8857142857142857,0.05719926668980423
15,225,15,ABCDEFGHIJKLMNO,0.05,5,10,0,150,0.0,0.9511111111111115,0.8874074074074074,0.05295337908625802
15,225,15,ABCDEFGHIJKLMNO,0.1,10,10,0,150,0.0,0.9022222222222221,0.8874074074074074,0.05295337908625802
15,225,15,ABCDEFGHIJKLMNO,0.15,15,10,0,150,0.0,0.8488888888888891,0.8874074074074074,0.05295337908625802
15,225,16,ABCDEFGHIJKLMNOP,0.05,5,10,0,160,0.0,0.9511111111111111,0.8877777777777777,0.054602943890247176
15,225,16,ABCDEFGHIJKLMNOP,0.1,10,10,0,160,0.0,0.9022222222222223,0.8877777777777777,0.054602943890247176
15,225,16,ABCDEFGHIJKLMNOP,0.15,15,10,0,160,0.0,0.848888888888889,0.8877777777777777,0.054602943890247176
15,225,17,ABCDEFGHIJKLMNOPQ,0.05,5,10,0,170,0.0,0.9511111111111111,0.8852287581699346,0.052014975646309594
15,225,17,ABCDEFGHIJKLMNOPQ,0.1,10,10,0,170,0.0,0.9022222222222224,0.8852287581699346,0.052014975646309594
15,225,17,ABCDEFGHIJKLMNOPQ,0.15,15,10,0,170,0.0,0.848888888888889,0.8852287581699346,0.052014975646309594
15,225,18,ABCDEFGHIJKLMNOPQR,0.05,5,10,0,180,0.0,0.9511111111111112,0.885679012345679,0.05660355828521005
15,225,18,ABCDEFGHIJKLMNOPQR,0.1,10,10,0,180,0.0,0.9022222222222223,0.885679012345679,0.05660355828521005
15,225,18,ABCDEFGHIJKLMNOPQR,0.15,15,10,0,180,0.0,0.8488888888888891,0.885679012345679,0.05660355828521005
15,225,19,ABCDEFGHIJKLMNOPQRS,0.05,5,10,0,190,0.0,0.9511111111111112,0.8895906432748537,0.05483771382197681
15,225,19,ABCDEFGHIJKLMNOPQRS,0.1,10,10,0,190,0.0,0.9022222222222221,0.8895906432748537,0.05483771382197681
15,225,19,ABCDEFGHIJKLMNOPQRS,0.15,15,10,0,190,0.0,0.8488888888888892,0.8895906432748537,0.05483771382197681
15,225,20,ABCDEFGHIJKLMNOPQRST,0.05,5,10,0,200,0.0,0.951111111111111,0.8871111111111111,0.05453099696163302
15,225,20,ABCDEFGHIJKLMNOPQRST,0.1,10,10,0,200,0.0,0.9022222222222223,0.8871111111111111,0.05453099696163302
15,225,20,ABCDEFGHIJKLMNOPQRST,0.15,15,10,0,200,0.0,0.8488888888888888,0.8871111111111111,0.05453099696163302
15,225,21,ABCDEFGHIJKLMNOPQRSTU,0.05,5,10,0,210,0.0,0.951111111111111,0.8886772486772487,0.05328880311145143
15,225,21,ABCDEFGHIJKLMNOPQRSTU,0.1,10,10,0,210,0.0,0.9022222222222224,0.8886772486772487,0.05328880311145143
15,225,21,ABCDEFGHIJKLMNOPQRSTU,0.15,15,10,0,210,0.0,0.8488888888888889,0.8886772486772487,0.05328880311145143
15,225,22,ABCDEFGHIJKLMNOPQRSTUV,0.05,5,10,0,220,0.0,0.9511111111111111,0.8866666666666668,0.05513375227327302
15,225,22,ABCDEFGHIJKLMNOPQRSTUV,0.1,10,10,0,220,0.0,0.9022222222222225,0.8866666666666668,0.05513375227327302
15,225,22,ABCDEFGHIJKLMNOPQRSTUV,0.15,15,10,0,220,0.0,0.848888888888889,0.8866666666666668,0.05513375227327302
15,225,23,ABCDEFGHIJKLMNOPQRSTUVW,0.05,5,10,0,230,0.0,0.9511111111111111,0.8809661835748793,0.05821398358554524
15,225,23,ABCDEFGHIJKLMNOPQRSTUVW,0.1,10,10,0,230,0.0,0.9022222222222224,0.8809661835748793,0.05821398358554524
15,225,23,ABCDEFGHIJKLMNOPQRSTUVW,0.15,15,10,0,230,0.0,0.848888888888889,0.8809661835748793,0.05821398358554524
15,225,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.05,5,10,0,240,0.0,0.9511111111111109,0.8801851851851852,0.0538016348469868
15,225,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.1,10,10,0,240,0.0,0.9022222222222225,0.8801851851851852,0.0538016348469868
15,225,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.15,15,10,0,240,0.0,0.8488888888888888,0.8801851851851852,0.0538016348469868
15,225,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.05,5,10,0,250,0.0,0.9511111111111111,0.8785777777777778,0.05316595959125781
15,225,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.1,10,10,0,250,0.0,0.9022222222222223,0.8785777777777778,0.05316595959125781
15,225,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.15,15,10,0,250,0.0,0.8488888888888889,0.8785777777777778,0.05316595959125781
15,225,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.05,5,10,0,260,0.0,0.9511111111111111,0.8794871794871795,0.052331428612543175
15,225,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.1,10,10,0,260,0.0,0.9022222222222223,0.8794871794871795,0.052331428612543175
15,225,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.15,15,10,0,260,0.0,0.8488888888888889,0.8794871794871795,0.052331428612543175
